source,target
1695,1063
2981,502
547,502
263,502
1589,502
2588,502
765,1659
2445,1461
454,1461
581,696
3299,667
3147,423
2865,82
2590,82
1002,2668
2143,2668
2566,297
2178,2100
1556,2100
2675,12
2542,936
832,936
3031,936
50,936
850,936
2530,936
263,936
827,936
2653,936
2595,936
809,936
349,936
531,2384
1988,2384
1691,2384
3087,2384
2651,2384
1644,2762
471,2762
2695,1042
2304,1592
3197,1592
3145,1592
1653,1592
1505,1592
1431,1592
3076,1592
489,1592
2577,1592
2413,1592
2004,1592
321,1592
3225,1592
2153,1592
2535,1862
469,1862
3177,2323
2476,2323
3275,2323
1289,3219
1482,3219
3089,3219
314,793
515,2053
1604,1182
2671,1182
451,1182
931,1487
752,498
186,498
3044,820
1857,820
1148,637
1329,637
2466,2502
755,2502
1701,2502
1222,2502
1505,2502
182,2502
1187,2502
2500,2502
3190,2502
188,2502
2167,3297
22,3297
3091,3297
1140,3297
2144,3297
740,3297
684,3297
2419,3297
728,3297
2026,3297
1335,3297
1505,2334
584,2334
1660,2114
1505,2114
3068,1502
2378,1502
2914,1502
935,1502
1941,334
2903,334
2712,2956
1977,2956
865,2956
897,2956
3019,2956
1420,2550
1846,879
347,241
736,1279
855,2969
1687,2969
2938,859
501,859
691,782
3189,782
1779,3152
672,3152
2316,3152
1638,2350
3068,3140
2778,3140
2310,3140
1136,3140
2194,3140
2914,3140
1878,3140
935,3140
753,3140
1856,3140
752,2
1230,2
1352,1207
2295,1794
289,1181
1636,1181
552,1181
1067,1181
373,1181
595,582
2273,2604
3296,2604
855,2604
1746,2604
2624,2604
3217,2604
3025,1991
140,1991
2941,3185
1028,3185
1449,3185
928,3185
1505,3185
124,3185
2979,3185
983,3185
73,2277
3220,2277
1532,1749
2792,1421
20,1421
2612,1421
3135,2699
1571,2699
2961,2699
393,1413
2074,1413
965,646
1702,646
2155,2149
2269,2149
3029,2149
2047,2149
135,2149
957,2872
1088,2872
876,2872
928,2872
1222,2872
1505,2872
644,2872
2584,2693
1741,2693
3171,2693
1749,1532
1980,1532
2373,1532
1849,1532
1219,1532
1581,1532
1815,1024
2706,2909
2445,1439
2230,2879
1282,868
485,868
708,868
1216,300
2655,2424
1871,1038
1535,1038
1411,1038
2801,1370
1285,1370
331,1370
2831,1370
544,1370
1376,1370
2903,1370
1591,0
3051,0
2081,1630
3138,1564
1947,1564
536,1564
2069,1795
2550,1420
2073,1420
